"riskFactor.kcd","disease.kcd","RR","pValue","pFdr","riskFactor.eng","disease.eng","age"
"J20","B01",4.8872045767453,0,0,"Acute bronchitis","Varicella[chickenpox]",NA
"J01","B08",4.48012259388158,0,0,"Acute sinusitis","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"J01","B01",5.38854460232119,0,0,"Acute sinusitis","Varicella[chickenpox]",NA
"J01","A87",4.08347345987243,0,0,"Acute sinusitis","Viral meningitis",NA
"J01","M92",4.40447226035187,0,0,"Acute sinusitis","Other juvenile osteochondrosis",NA
"M54","M80",5.18178913128533,0,0,"Dorsalgia","Osteoporosis with pathological fracture",NA
"M54","M49",4.50909330225095,0,0,"Dorsalgia","Spondylopathies in diseases classified elsewhere",NA
"J45","B08",4.13496382241888,0,0,"Asthma","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"J45","B01",4.82982826466526,0,0,"Asthma","Varicella[chickenpox]",NA
"A09","B08",5.48429136555665,0,0,"Other gastroenteritis and colitis of infectious and unspecified origin","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"A09","B01",6.39632018855728,0,0,"Other gastroenteritis and colitis of infectious and unspecified origin","Varicella[chickenpox]",NA
"A09","A87",4.84184968973673,0,0,"Other gastroenteritis and colitis of infectious and unspecified origin","Viral meningitis",NA
"I10","I20",4.39845646853525,0,0,"Essential(primary) hypertension","Angina pectoris",7
"I10","H25",5.32758264786171,0,0,"Essential(primary) hypertension","Senile cataract",NA
"I10","I11",7.9343477002849,0,0,"Essential(primary) hypertension","Hypertensive heart disease",9
"I10","I63",6.83454710932333,0,0,"Essential(primary) hypertension","Cerebral infarction",6
"I10","I25",6.50395601773009,0,0,"Essential(primary) hypertension","Chronic ischaemic heart disease",8
"I10","I50",6.70525263996773,0,0,"Essential(primary) hypertension","Heart failure",8
"I10","H26",4.26313446690765,0,0,"Essential(primary) hypertension","Other cataract",NA
"I10","H36",4.6097710086365,0,0,"Essential(primary) hypertension","Retinal disorders in diseases classified elsewhere",7
"I10","E10",5.51576037712696,0,0,"Essential(primary) hypertension","Type 1 diabetes mellitus",6
"I10","G45",4.68163684839406,0,0,"Essential(primary) hypertension","Transient cerebral ischaemic attacks and related syndromes",NA
"I10","I70",5.66567499754129,0,0,"Essential(primary) hypertension","Atherosclerosis",7
"I10","I69",7.85339504459331,0,0,"Essential(primary) hypertension","Sequelae of cerebrovascular disease",8
"I10","I48",5.70776721451737,0,0,"Essential(primary) hypertension","Atrial fibrillation and flutter",7
"I10","I67",4.66957107969656,0,0,"Essential(primary) hypertension","Other cerebrovascular diseases",6
"I10","I21",5.28519712084902,0,0,"Essential(primary) hypertension","Acute myocardial infarction",5
"I10","M80",5.58855021215425,0,0,"Essential(primary) hypertension","Osteoporosis with pathological fracture",NA
"I10","Z96",5.6157348082796,0,0,"Essential(primary) hypertension","Presence of other functional implants",7
"I10","G63",5.35073675024873,0,0,"Essential(primary) hypertension","Polyneuropathy in diseases classified elsewhere",6
"I10","I13",7.59354628516154,0,0,"Essential(primary) hypertension","Hypertensive heart and renal disease",9
"I10","I51",4.5586731911269,0,0,"Essential(primary) hypertension","Complications and ill-defined descriptions of heart disease",NA
"I10","G81",7.40479211691195,0,0,"Essential(primary) hypertension","Hemiplegia",NA
"I10","E13",5.06722931810199,0,0,"Essential(primary) hypertension","Other specified diabetes mellitus",6
"I10","I15",6.46376795436746,0,0,"Essential(primary) hypertension","Secondary hypertension",6
"I10","A41",5.01661731037624,0,0,"Essential(primary) hypertension","Other sepsis",6
"I10","N18",8.70731505078934,0,0,"Essential(primary) hypertension","Chronic kidney disease",8
"I10","J90",4.34760180308813,0,0,"Essential(primary) hypertension","Pleural effusion, NEC",NA
"I10","I12",9.36697442151017,0,0,"Essential(primary) hypertension","Hypertensive renal disease",9
"I10","I74",7.37222460127282,0,0,"Essential(primary) hypertension","Arterial embolism and thrombosis",9
"I10","D63",5.06170077515904,0,0,"Essential(primary) hypertension","Anaemia in chronic diseases classified elsewhere",7
"I10","N08",4.64439516886836,0,0,"Essential(primary) hypertension","Glomerular disorders in diseases classified elsewhere",8
"I10","C61",4.22379534981409,0,0,"Essential(primary) hypertension","Malignant neoplasm of prostate",NA
"I10","I61",4.73721219711546,0,0,"Essential(primary) hypertension","Intracerebral haemorrhage",NA
"I10","I24",5.14981473336837,0,0,"Essential(primary) hypertension","Other acute ischaemic heart diseases",NA
"I10","H27",5.32416801690865,0,0,"Essential(primary) hypertension","Other disorders of lens",NA
"I10","S72",5.50925454938162,0,0,"Essential(primary) hypertension","Fracture of femur",NA
"I10","H34",4.72125542269461,0,0,"Essential(primary) hypertension","Retinal vascular occlusions",NA
"I10","I99",4.3436621745964,0,0,"Essential(primary) hypertension","Other and unspecified disorders of circulatory system",7
"I10","G20",6.90249868714147,0,0,"Essential(primary) hypertension","Parkinson’s disease",NA
"I10","E12",6.61964247628662,1.18378932295874e-292,3.19481062480106e-287,"Essential(primary) hypertension","Malnutrition-related diabetes mellitus",9
"I10","N17",5.52358046681314,0,0,"Essential(primary) hypertension","Acute renal failure",6
"I10","E88",4.02772384741823,0,0,"Essential(primary) hypertension","Other metabolic disorders",NA
"I10","E46",4.21898017505082,0,0,"Essential(primary) hypertension","Unspecified protein-energy malnutrition",NA
"I10","L89",7.60922953737906,0,0,"Essential(primary) hypertension","Decubitus ulcer and pressure area",NA
"I10","I64",8.12414038188216,0,0,"Essential(primary) hypertension","Stroke, not specified as haemorrhage or infarction",NA
"N76","N72",4.64624804272999,0,0,"Other inflammation of vagina and vulva","Inflammatory disease of cervix uteri",16
"N76","N73",4.93955004238782,0,0,"Other inflammation of vagina and vulva","Other female pelvic inflammatory diseases",NA
"N76","N93",4.36614726215444,0,0,"Other inflammation of vagina and vulva","Other abnormal uterine and vaginal bleeding",NA
"N76","N71",5.11588601977267,0,0,"Other inflammation of vagina and vulva","Inflammatory disease of uterus, except cervix",15
"N76","A59",4.77427132689983,0,0,"Other inflammation of vagina and vulva","Trichomoniasis",NA
"N76","N64",4.50036061725293,0,0,"Other inflammation of vagina and vulva","Other disorders of breast",NA
"N76","Z30",5.06277471250217,0,0,"Other inflammation of vagina and vulva","Contraceptive management",NA
"N76","D25",4.66329777837786,0,0,"Other inflammation of vagina and vulva","Leiomyoma of uterus",NA
"N76","O82",4.07486044602376,0,0,"Other inflammation of vagina and vulva","Single delivery by caesarean section",NA
"N76","N86",4.98292963185541,0,0,"Other inflammation of vagina and vulva","Erosion and ectropion of cervix uteri",14
"N76","N77",4.66924855751867,0,0,"Other inflammation of vagina and vulva","Vulvovaginal ulceration and  inflammation in diseases classified elsewhere",NA
"N76","N60",4.66909390431814,0,0,"Other inflammation of vagina and vulva","Benign mammary dysplasia",NA
"N76","D24",4.33900724094688,0,0,"Other inflammation of vagina and vulva","Benign neoplasm of breast",NA
"N76","N70",5.83175182523405,0,0,"Other inflammation of vagina and vulva","Salpingitis and oophoritis",14
"N76","O20",4.18894671922851,0,0,"Other inflammation of vagina and vulva","Haemorrhage in early pregnancy",NA
"N76","N84",4.20277165346674,0,0,"Other inflammation of vagina and vulva","Polyp of female genital tract",NA
"N76","N83",4.12270488658804,0,0,"Other inflammation of vagina and vulva","Noninflammatory disorders of ovary, fallopian tube and broad ligament",NA
"N76","N80",4.7119069875166,0,0,"Other inflammation of vagina and vulva","Endometriosis",NA
"N76","D27",4.10499402427798,0,0,"Other inflammation of vagina and vulva","Benign neoplasm of ovary",NA
"N76","N85",4.69539569101351,0,0,"Other inflammation of vagina and vulva","Other noninflammatory disorders of uterus, except cervix",NA
"N76","N61",4.23995186116634,0,0,"Other inflammation of vagina and vulva","Inflammatory disorders of breast",NA
"N76","N63",4.4506891697108,0,0,"Other inflammation of vagina and vulva","Unspecified lump in breast",NA
"N76","N87",5.03288635975271,0,0,"Other inflammation of vagina and vulva","Dysplasia of cervix uteri",15
"N76","O34",4.6250892348726,0,0,"Other inflammation of vagina and vulva","Maternal care for known or suspected abnormality of pelvic organs",NA
"N76","P59",4.64852855091908,3.62951529544571e-39,9.79533587934888e-34,"Other inflammation of vagina and vulva","Neonatal jaundice from other and unspecified causes",NA
"N76","O92",4.50634382612397,0,0,"Other inflammation of vagina and vulva","Other disorders of breast and lactation associated with childbirth",NA
"N76","N75",5.24756032123026,0,0,"Other inflammation of vagina and vulva","Diseases of Bartholin’s gland",NA
"L20","B08",7.6554847962654,0,0,"Atopic dermatitis","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"L20","B01",8.35078109894558,0,0,"Atopic dermatitis","Varicella[chickenpox]",NA
"L20","L22",6.92938745053939,0,0,"Atopic dermatitis","Diaper [napkin] dermatitis",NA
"L20","G03",4.42047464976846,0,0,"Atopic dermatitis","Meningitis due to other and unspecified causes",NA
"L20","A87",5.58727732686898,0,0,"Atopic dermatitis","Viral meningitis",NA
"L20","B09",5.39673604478928,0,0,"Atopic dermatitis","Unspecified viral infection characterized by skin and mucous membrane lesions",NA
"L20","B26",4.08218135880403,0,0,"Atopic dermatitis","Mumps",NA
"L20","M92",4.38023467918252,0,0,"Atopic dermatitis","Other juvenile osteochondrosis",NA
"L20","K00",4.40393495123435,5.11198924322479e-246,1.37962365696151e-240,"Atopic dermatitis","Disorders of tooth development and eruption",NA
"H66","B08",5.62968748434452,0,0,"Suppurative and unspecified otitis media","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"H66","B01",6.65817280106758,0,0,"Suppurative and unspecified otitis media","Varicella[chickenpox]",NA
"H66","A87",4.98223650286657,0,0,"Suppurative and unspecified otitis media","Viral meningitis",NA
"H66","M92",4.06517408833869,0,0,"Suppurative and unspecified otitis media","Other juvenile osteochondrosis",NA
"H66","K00",4.22776771326481,2.08637788840967e-217,5.63071664524002e-212,"Suppurative and unspecified otitis media","Disorders of tooth development and eruption",NA
"E78","I25",4.50517550839938,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Chronic ischaemic heart disease",NA
"E78","H36",4.60034098803748,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Retinal disorders in diseases classified elsewhere",NA
"E78","E10",4.8405786896986,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Type 1 diabetes mellitus",5
"E78","I70",4.26470314800547,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Atherosclerosis",NA
"E78","I69",4.1052071301325,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Sequelae of cerebrovascular disease",6
"E78","G63",4.8444845618499,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Polyneuropathy in diseases classified elsewhere",7
"E78","I13",4.50420022111001,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Hypertensive heart and renal disease",8
"E78","E13",4.53664929093147,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Other specified diabetes mellitus",NA
"E78","N18",5.21272694434161,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Chronic kidney disease",6
"E78","I12",5.68947159461028,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Hypertensive renal disease",7
"E78","I74",5.12319734748391,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Arterial embolism and thrombosis",NA
"E78","N08",5.26562012964251,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Glomerular disorders in diseases classified elsewhere",7
"E78","E12",4.4873161195244,5.67845152466746e-138,1.53250049747725e-132,"Disorders of lipoprotein metabolism and other lipidaemias","Malnutrition-related diabetes mellitus",9
"E78","I64",4.39537223392548,0,0,"Disorders of lipoprotein metabolism and other lipidaemias","Stroke, not specified as haemorrhage or infarction",NA
"M17","M81",4.66863462695815,0,0,"Gonarthrosis[arthrosis of knee]","Osteoporosis without pathological fracture",NA
"M17","H25",5.04179935477716,0,0,"Gonarthrosis[arthrosis of knee]","Senile cataract",NA
"M17","M48",4.08446500951815,0,0,"Gonarthrosis[arthrosis of knee]","Other spondylopathies",NA
"M17","I11",4.20648894600904,0,0,"Gonarthrosis[arthrosis of knee]","Hypertensive heart disease",NA
"M17","I63",4.69877460336127,0,0,"Gonarthrosis[arthrosis of knee]","Cerebral infarction",NA
"M17","I50",4.85419550572167,0,0,"Gonarthrosis[arthrosis of knee]","Heart failure",NA
"M17","H26",4.05970144010075,0,0,"Gonarthrosis[arthrosis of knee]","Other cataract",NA
"M17","G45",4.0432934172678,0,0,"Gonarthrosis[arthrosis of knee]","Transient cerebral ischaemic attacks and related syndromes",NA
"M17","M16",4.89502431085658,0,0,"Gonarthrosis[arthrosis of knee]","Coxarthrosis [arthrosis of hip]",NA
"M17","G57",4.24271495257395,0,0,"Gonarthrosis[arthrosis of knee]","Mononeuropathies of lower limb",NA
"M17","I69",4.77705057371578,0,0,"Gonarthrosis[arthrosis of knee]","Sequelae of cerebrovascular disease",NA
"M17","I67",4.03188448119823,0,0,"Gonarthrosis[arthrosis of knee]","Other cerebrovascular diseases",NA
"M17","M45",4.23260376117929,0,0,"Gonarthrosis[arthrosis of knee]","Ankylosing spondylitis",NA
"M17","S32",4.61355931477889,0,0,"Gonarthrosis[arthrosis of knee]","Fracture of lumbar spine and pelvis",4
"M17","M80",8.09095151398952,0,0,"Gonarthrosis[arthrosis of knee]","Osteoporosis with pathological fracture",NA
"M17","Z96",6.13820594370502,0,0,"Gonarthrosis[arthrosis of knee]","Presence of other functional implants",NA
"M17","M05",4.06423909503844,0,0,"Gonarthrosis[arthrosis of knee]","Seropositive rheumatoid arthritis",NA
"M17","I51",4.16533258085838,0,0,"Gonarthrosis[arthrosis of knee]","Complications and ill-defined descriptions of heart disease",NA
"M17","G81",4.11679006307477,0,0,"Gonarthrosis[arthrosis of knee]","Hemiplegia",NA
"M17","R32",4.39544562119198,0,0,"Gonarthrosis[arthrosis of knee]","Unspecified urinary incontinence",NA
"M17","I74",4.12888021835302,0,0,"Gonarthrosis[arthrosis of knee]","Arterial embolism and thrombosis",NA
"M17","H27",5.63187445286114,0,0,"Gonarthrosis[arthrosis of knee]","Other disorders of lens",NA
"M17","S72",5.62309611477986,0,0,"Gonarthrosis[arthrosis of knee]","Fracture of femur",NA
"M17","I99",4.52507628018816,0,0,"Gonarthrosis[arthrosis of knee]","Other and unspecified disorders of circulatory system",NA
"M17","G20",5.95102965585949,0,0,"Gonarthrosis[arthrosis of knee]","Parkinson’s disease",NA
"M17","E12",4.41617297238483,8.08502119705358e-134,2.18198552066082e-128,"Gonarthrosis[arthrosis of knee]","Malnutrition-related diabetes mellitus",NA
"M17","M00",5.40518626285971,0,0,"Gonarthrosis[arthrosis of knee]","Pyogenic arthritis",NA
"M17","L89",5.09770641586598,0,0,"Gonarthrosis[arthrosis of knee]","Decubitus ulcer and pressure area",NA
"M17","I64",4.79008750827714,0,0,"Gonarthrosis[arthrosis of knee]","Stroke, not specified as haemorrhage or infarction",NA
"M17","M49",5.44212827882323,0,0,"Gonarthrosis[arthrosis of knee]","Spondylopathies in diseases classified elsewhere",7
"J21","B08",8.00158903855525,0,0,"Acute bronchiolitis","Other viral infections characterized by skin and mucous membrane lesions, NEC",NA
"J21","B01",9.2821343599121,0,0,"Acute bronchiolitis","Varicella[chickenpox]",NA
"J21","L22",6.39274367005142,0,0,"Acute bronchiolitis","Diaper [napkin] dermatitis",NA
"J21","G03",4.51999453084169,0,0,"Acute bronchiolitis","Meningitis due to other and unspecified causes",NA
"J21","A87",5.48102830184147,0,0,"Acute bronchiolitis","Viral meningitis",NA
"J21","B09",5.55245419451326,0,0,"Acute bronchiolitis","Unspecified viral infection characterized by skin and mucous membrane lesions",NA
"J21","M92",4.30770945277664,0,0,"Acute bronchiolitis","Other juvenile osteochondrosis",NA
"J21","K00",5.69912148839186,0,0,"Acute bronchiolitis","Disorders of tooth development and eruption",NA
"M13","M80",5.74467378085668,0,0,"Other arthritis","Osteoporosis with pathological fracture",NA
"M13","Z96",4.36265206525801,0,0,"Other arthritis","Presence of other functional implants",NA
