"kcd","eng"
"J20","Acute bronchitis"
"J03","Acute tonsillitis"
"K29","Gastritis and duodenitis"
"J30","Vasomotor and allergic rhinitis"
"J06","Acute upper respiratory infections of multiple and unspecified sites"
"J02","Acute pharyngitis"
"J00","Acute nasopharyngitis[common cold]"
"H10","Conjunctivitis"
"J04","Acute laryngitis and tracheitis"
"J01","Acute sinusitis"
"L23","Allergic contact dermatitis"
"K30","Functional dyspepsia"
"K59","Other functional intestinal disorders"
"M54","Dorsalgia"
"M79","Other soft tissue disorders, NEC"
"J45","Asthma"
"K58","Irritable bowel syndrome"
"J31","Chronic rhinitis, nasopharyngitis and pharyngitis"
"H52","Disorders of refraction and accommodation"
"A09","Other gastroenteritis and colitis of infectious and unspecified origin"
"K52","Other noninfective gastroenteritis and colitis"
"I10","Essential(primary) hypertension"
"K25","Gastric ulcer"
"L50","Urticaria"
"R50","Fever of other and unknown origin"
"N76","Other inflammation of vagina and vulva"
"R10","Abdominal and pelvic pain"
"K27","Peptic ulcer, site unspecified"
"B35","Dermatophytosis"
"H04","Disorders of lacrimal system"
"J32","Chronic sinusitis"
"K21","Gastro-oesophageal reflux disease"
"L20","Atopic dermatitis"
"H16","Keratitis"
"R11","Nausea and vomiting"
"J40","Bronchitis, not specified as acute or chronic"
"H66","Suppurative and unspecified otitis media"
"E78","Disorders of lipoprotein metabolism and other lipidaemias"
"M17","Gonarthrosis[arthrosis of knee]"
"S33","Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis"
"B30","Viral conjunctivitis"
"H60","Otitis externa"
"R51","Headache"
"K76","Other diseases of liver"
"N30","Cystitis"
"J21","Acute bronchiolitis"
"M13","Other arthritis"
"J34","Other disorders of nose and nasal sinuses"
"L30","Other dermatitis"
"M51","Other intervertebral disc disorders"
"R07","Pain in throat and chest"
"R12","Heartburn"
"H65","Nonsuppurative otitis media"
"M75","Shoulder lesions"
"E11","Type 2 diabetes mellitus"
"K31","Other diseases of stomach and duodenum"
"F41","Other anxiety disorders"
"J18","Pneumonia, organism unspecified"
"L24","Irritant contact dermatitis"
"H00","Hordeolum and chalazion"
"M25","Other joint disorders, NEC"
"R05","Cough"
"L03","Cellulitis"
"L02","Cutaneous abscess, furuncle and carbuncle"
"L29","Pruritus"
"H40","Glaucoma"
"S93","Dislocation, sprain and strain of joints and ligaments at ankle and foot level"
"G44","Other headache syndromes"
"B37","Candidiasis"
"R42","Dizziness and giddiness"
"S63","Dislocation, sprain and strain of joints and ligaments at wrist and hand level"
"M81","Osteoporosis without pathological fracture"
"H61","Other disorders of external ear"
"J36","Peritonsillar abscess"
"M47","Spondylosis"
"N72","Inflammatory disease of cervix uteri"
"L21","Seborrhoeic dermatitis"
"K12","Stomatitis and related lesions"
"A04","Other bacterial intestinal infections"
"M65","Synovitis and tenosynovitis"
"S13","Dislocation, sprain and strain of joints and ligaments at neck level"
"G43","Migraine"
"F45","Somatoform disorders"
"N95","Menopausal and other perimenopausal disorders"
"F48","Other neurotic disorders"
"K73","Chronic hepatitis, NEC"
"A08","Viral and other specified intestinal infections"
"L25","Unspecified contact dermatitis"
"J42","Unspecified chronic bronchitis"
"N34","Urethritis and urethral syndrome"
"K26","Duodenal ulcer"
"S01","Open wound of head"
"J11","Influenza, virus not identified"
"L08","Other local infections of skin and subcutaneous tissue"
"S61","Open wound of wrist and hand"
"H11","Other disorders of conjunctiva"
"I84","Hemorrhoids"
"J41","Simple and mucopurulent chronic bronchitis"
"D50","Iron deficiency anaemia"
"N39","Other disorders of urinary system"
"I20","Angina pectoris"
"M19","Other arthrosis"
"E14","Unspecified diabetes mellitus"
"M15","Polyarthrosis"
"M06","Other rheumatoid arthritis"
"Z34","Supervision of normal pregnancy"
"H01","Other inflammation of eyelid"
"F32","Depressive episode"
"L01","Impetigo"
"S43","Dislocation, sprain and strain of joints and ligaments of shoulder girdle"
"H25","Senile cataract"
"B00","Herpesviral [herpes simplex] infections"
"N73","Other female pelvic inflammatory diseases"
"H81","Disorders of vestibular function"
"M77","Other enthesopathies"
"B18","Chronic viral hepatitis"
"M50","Cervical disc disorders"
"S83","Dislocation, sprain and strain of joints and ligaments of knee"
"M72","Fibroblastic disorders"
"B08","Other viral infections characterized by skin and mucous membrane lesions, NEC"
"R60","Oedema, NEC"
"J22","Unspecified acute lower respiratory infection"
"G47","Sleep disorders"
"M48","Other spondylopathies"
"T15","Foreign body on external eye"
"J15","Bacterial pneumonia, NEC"
"S23","Dislocation, sprain and strain of joints and ligaments of thorax"
"R06","Abnormalities of breathing"
"R04","Haemorrhage from respiratory passages"
"I11","Hypertensive heart disease"
"D64","Other anaemias"
"K70","Alcoholic liver disease"
"L04","Acute lymphadenitis"
"J35","Chronic diseases of tonsils and adenoids"
"N93","Other abnormal uterine and vaginal bleeding"
"H35","Other retinal disorders"
"J44","Other chronic obstructive pulmonary disease"
"H93","Other disorders of ear, NEC"
"J37","Chronic laryngitis and laryngotracheitis"
"S00","Superficial injury of head"
"N71","Inflammatory disease of uterus, except cervix"
"R52","Pain, NEC"
"I73","Other peripheral vascular diseases"
"M62","Other disorders of muscle"
"N41","Inflammatory diseases of prostate"
"B02","Zoster [herpes zoster]"
"L73","Other follicular disorders"
"A59","Trichomoniasis"
"S53","Dislocation, sprain and strain of joints and ligaments of elbow"
"E05","Thyrotoxicosis[hyperthyroidism]"
"H02","Other disorders of eyelid"
"S80","Superficial injury of lower leg"
"F51","Nonorganic sleep disorders"
"N40","Hyperplasia of prostate"
"S20","Superficial injury of thorax"
"S60","Superficial injury of wrist and hand"
"B01","Varicella[chickenpox]"
"R53","Malaise and fatigue"
"M53","Other dorsopathies, NEC"
"J38","Diseases of vocal cords and larynx, NEC"
"L85","Other epidermal thickening"
"L28","Lichen simplex chronicus and prurigo"
"H68","Eustachian salpingitis and obstruction"
"M23","Internal derangement of knee"
"I49","Other cardiac arrhythmias"
"R00","Abnormalities of heart beat"
"I63","Cerebral infarction"
"E86","Volume depletion"
"R30","Pain associated with micturition"
"E03","Other hypothyroidism"
"S90","Superficial injury of ankle and foot"
"H90","Conductive and sensorineural hearing loss"
"I25","Chronic ischaemic heart disease"
"N64","Other disorders of breast"
"H50","Other strabismus"
"N91","Absent, scanty and rare menstruation"
"S62","Fracture at wrist and hand level"
"Z30","Contraceptive management"
"O80","Single spontaneous delivery"
"R31","Unspecified haematuria"
"M24","Other specific joint derangements"
"E87","Other disorders of fluid, electrolyte and acid-base balance"
"L60","Nail disorders"
"J05","Acute obstructive laryngitis [croup] and epiglottitis"
"I50","Heart failure"
"N20","Calculus of kidney and ureter"
"J39","Other diseases of upper respiratory tract"
"L22","Diaper [napkin] dermatitis"
"L84","Corns and callosities"
"K75","Other inflammatory liver diseases"
"S91","Open wound of ankle and foot"
"K05","Gingivitis and periodontal diseases"
"N31","Neuromuscular dysfunction of bladder, NEC"
"T16","Foreign body in ear"
"K56","Paralytic ileus and intestinal obstruction without hernia"
"N10","Acute tubulo-interstitial nephritis"
"K60","Fissure and fistula of anal and rectal regions"
"G40","Epilepsy"
"M76","Enthesopathies of lower limb, excluding foot"
"H19","Disorders of sclera and cornea in diseases classified elsewhere"
"H26","Other cataract"
"S06","Intracranial injury"
"K71","Toxic liver disease"
"S81","Open wound of lower leg"
"H36","Retinal disorders in diseases classified elsewhere"
"S22","Fracture of rib(s), sternum and thoracic spine"
"K92","Other diseases of digestive system"
"R09","Other symptoms and signs involving the circulatory and respiratory systems"
"D25","Leiomyoma of uterus"
"L27","Dermatitis due to substances taken internally"
"M43","Other deforming dorsopathies"
"S05","Injury of eye and orbit"
"S52","Fracture of forearm"
"A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"D23","Other benign neoplasms of skin"
"E10","Type 1 diabetes mellitus"
"O82","Single delivery by caesarean section"
"L40","Psoriasis"
"T14","Injury of unspecified body region"
"T17","Foreign body in respiratory tract"
"M10","Gout"
"B36","Other superficial mycoses"
"E07","Other disorders of thyroid"
"J10","Influenza due to identified seasonal influenza virus"
"K62","Other diseases of anus and rectum"
"S92","Fracture of foot, except ankle"
"M67","Other disorders of synovium and tendon"
"M70","Soft tissue disorders related to use, overuse and pressure"
"K35","Acute appendicitis"
"K63","Other diseases of intestine"
"N86","Erosion and ectropion of cervix uteri"
"H53","Visual disturbances"
"N48","Other disorders of penis"
"H43","Disorders of vitreous body"
"L70","Acne"
"M22","Disorders of patella"
"N77","Vulvovaginal ulceration and  inflammation in diseases classified elsewhere"
"G45","Transient cerebral ischaemic attacks and related syndromes"
"S73","Dislocation, sprain and strain of joint and ligaments of hip"
"R14","Flatulence and related conditions"
"B16","Acute hepatitis B"
"M41","Scoliosis"
"N92","Excessive, frequent and irregular menstruation"
"H91","Other hearing loss"
"G56","Mononeuropathies of upper limb"
"M60","Myositis"
"S50","Superficial injury of forearm"
"R63","Symptoms and signs concerning food and fluid intake"
"M16","Coxarthrosis [arthrosis of hip]"
"N60","Benign mammary dysplasia"
"E04","Other nontoxic goitre"
"H15","Disorders of sclera"
"G58","Other mononeuropathies"
"H92","Otalgia and effusion of ear"
"G57","Mononeuropathies of lower limb"
"A05","Other bacterial foodborne intoxications, NEC"
"D24","Benign neoplasm of breast"
"Z03","Medical observation and evaluation for suspected diseases and conditions"
"J33","Nasal polyp"
"R56","Convulsions, NEC"
"K02","Dental caries"
"H57","Other disorders of eye and adnexa"
"K74","Fibrosis and cirrhosis of liver"
"T78","Adverse effects, NEC"
"I70","Atherosclerosis"
"F34","Persistent mood [affective] disorders"
"T23","Burn and corrosion of wrist and hand"
"N70","Salpingitis and oophoritis"
"D17","Benign lipomatous neoplasm"
"S82","Fracture of lower leg, including ankle"
"T81","Complications of procedures, NEC"
"I69","Sequelae of cerebrovascular disease"
"L63","Alopecia areata"
"J47","Bronchiectasis"
"Z39","Postpartum care and examination"
"I48","Atrial fibrillation and flutter"
"K14","Diseases of tongue"
"A54","Gonococcal infection"
"K80","Cholelithiasis"
"S02","Fracture of skull and facial bones"
"S70","Superficial injury of hip and thigh"
"I67","Other cerebrovascular diseases"
"H62","Disorders of external ear in diseases classified elsewhere"
"I21","Acute myocardial infarction"
"F43","Reaction to severe stress, and adjustment disorders"
"G64","Other disorders of peripheral nervous system"
"A15","Respiratory tuberculosis, bacteriologically and histologically confirmed"
"M45","Ankylosing spondylitis"
"H18","Other disorders of cornea"
"Z71","Persons encountering health services for other counselling and medical advice, NEC"
"S32","Fracture of lumbar spine and pelvis"
"H73","Other disorders of tympanic membrane"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"E50","Vitamin A deficiency"
"O99","Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
"K20","Oesophagitis"
"Z98","Other postsurgical states"
"M80","Osteoporosis with pathological fracture"
"Z96","Presence of other functional implants"
"H20","Iridocyclitis"
"M05","Seropositive rheumatoid arthritis"
"G63","Polyneuropathy in diseases classified elsewhere"
"B07","Viral warts"
"M35","Other systemic involvement of connective tissue"
"E06","Thyroiditis"
"O20","Haemorrhage in early pregnancy"
"N94","Pain and other conditions associated with female genital organs and menstrual cycle"
"D12","Benign neoplasm of colon, rectum, anus and anal canal"
"N28","Other disorders of kidney and ureter, NEC"
"L72","Follicular cysts of skin and subcutaneous tissue"
"G55","Nerve root and plexus compressions in diseases classified elsewhere"
"H13","Disorders of conjunctiva in diseases classified elsewhere"
"N97","Female infertility"
"I13","Hypertensive heart and renal disease"
"G62","Other polyneuropathies"
"K85","Acute pancreatitis"
"S51","Open wound of forearm"
"M12","Other specific arthropathies"
"N84","Polyp of female genital tract"
"I51","Complications and ill-defined descriptions of heart disease"
"S03","Dislocation, sprain and strain of joints and ligaments of head"
"S42","Fracture of shoulder and upper arm"
"Z32","Pregnancy examination and test"
"N00","Acute nephritic syndrome"
"S40","Superficial injury of shoulder and upper arm"
"F33","Recurrent depressive disorder"
"R19","Other symptoms and signs involving the digestive system and abdomen"
"S67","Crushing injury of wrist and hand"
"C16","Malignant neoplasm of stomach"
"G03","Meningitis due to other and unspecified causes"
"R81","Glycosuria"
"Z01","Other special examination and investigations of persons without complaint or reported diagnosis"
"O86","Other puerperal infections"
"K72","Hepatic failure, NEC"
"S30","Superficial injury of abdomen, lower back and pelvis"
"T31","Burns classified according to extent of body surface involved"
"N04","Nephrotic syndrome"
"J46","Status asthmaticus"
"N05","Unspecified nephritic syndrome"
"G54","Nerve root and plexus disorders"
"R73","Elevated blood glucose level"
"A87","Viral meningitis"
"A60","Anogenital herpesviral [herpes simplex] infection"
"B19","Unspecified viral hepatitis"
"N83","Noninflammatory disorders of ovary, fallopian tube and broad ligament"
"D21","Other benign neoplasms of connective and other soft tissue"
"D69","Purpura and other haemorrhagic conditions"
"R35","Polyuria"
"K50","Crohn’s disease[regional enteritis]"
"F20","Schizophrenia"
"T00","Superficial injuries involving multiple body regions"
"B09","Unspecified viral infection characterized by skin and mucous membrane lesions"
"Z00","General examination and investigation of persons without complaint and reported diagnosis"
"N02","Recurrent and persistent haematuria"
"G81","Hemiplegia"
"B66","Other fluke infections"
"J98","Other respiratory disorders"
"J12","Viral pneumonia, NEC"
"D13","Benign neoplasm of other and ill-defined parts of digestive system"
"K22","Other diseases of oesophagus"
"E13","Other specified diabetes mellitus"
"I47","Paroxysmal tachycardia"
"L53","Other erythematous conditions"
"N80","Endometriosis"
"D27","Benign neoplasm of ovary"
"B17","Other acute viral hepatitis"
"G50","Disorders of trigeminal nerve"
"I15","Secondary hypertension"
"K13","Other diseases of lip and oral mucosa"
"S66","Injury of muscle and tendon at wrist and hand level"
"M71","Other bursopathies"
"T79","Certain early complications of trauma(T79)"
"K11","Diseases of salivary glands"
"K04","Diseases of pulp and periapical tissues"
"K51","Ulcerative colitis"
"E83","Disorders of mineral metabolism"
"C34","Malignant neoplasm of bronchus and lung"
"R45","Symptoms and signs involving emotional state"
"B33","Other viral diseases, NEC"
"K86","Other diseases of pancreas"
"A49","Bacterial infection of unspecified site"
"A41","Other sepsis"
"D68","Other coagulation defects"
"F10","Mental and behavioural disorders due to use of alcohol"
"R94","Abnormal results of function studies"
"K07","Dentofacial anomalies [including malocclusion]"
"I88","Nonspecific lymphadenitis"
"L42","Pityriasis rosea"
"N18","Chronic kidney disease"
"B34","Viral infection of unspecified site"
"L91","Hypertrophic disorders of skin"
"N85","Other noninflammatory disorders of uterus, except cervix"
"R32","Unspecified urinary incontinence"
"N45","Orchitis and epididymitis"
"G90","Disorders of autonomic nervous system"
"H72","Perforation of tympanic membrane"
"R55","Syncope and collapse"
"M46","Other inflammatory spondylopathies"
"T63","Toxic effect of contact with venomous animals"
"J90","Pleural effusion, NEC"
"T24","Burn and corrosion of hip and lower limb, except ankle and foot"
"G51","Facial nerve disorders"
"H17","Corneal scars and opacities"
"A02","Other salmonella infections"
"Z48","Persons encountering health services for other surgical follow-up care"
"C78","Secondary malignant neoplasm of respiratory and digestive organs"
"N61","Inflammatory disorders of breast"
"T25","Burn and corrosion of ankle and foot"
"K61","Abscess of anal and rectal regions"
"I12","Hypertensive renal disease"
"N13","Obstructive and reflux uropathy"
"I74","Arterial embolism and thrombosis"
"B86","Scabies"
"B85","Pediculosis and phthiriasis"
"R21","Rash and other nonspecific skin eruption"
"N63","Unspecified lump in breast"
"F40","Phobic anxiety disorders"
"D63","Anaemia in chronic diseases"
"S09","Other and unspecified injuries of head"
"C18","Malignant neoplasm of colon"
"D62","Acute posthaemorrhagic anaemia"
"N08","Glomerular disorders in diseases classified elsewhere"
"N87","Dysplasia of cervix uteri"
"G53","Cranial nerve disorders in diseases classified elsewhere"
"C61","Malignant neoplasm of prostate"
"K77","Liver disorders in disease classified elsewhere"
"F54","Psychological and behavioural factors associated with disorders or diseases classified elsewhere"
"C79","Secondary malignant neoplasm"
"E22","Hyperfunction of pituitary gland"
"K40","Inguinal hernia"
"O26","Maternal care for other conditions predominantly related to pregnancy"
"N03","Chronic nephritic syndrome"
"T22","Burn and corrosion of shoulder and upper limb, except wrist and hand"
"R22","Localized swelling, mass and lump of skin and subcutaneous tissue"
"I61","Intracerebral haemorrhage"
"D34","Benign neoplasm of thyroid gland"
"R18","Ascites"
"A56","Other sexually transmitted chlamydial diseases"
"H69","Other disorders of Eustachian tube"
"J43","Emphysema"
"I24","Other acute ischaemic heart diseases"
"N21","Calculus of lower urinary tract"
"L74","Eccrine sweat disorders"
"C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"O34","Maternal care for known or suspected abnormality of pelvic organs"
"E28","Ovarian dysfunction"
"G25","Other extrapyramidal and movement disorders"
"H27","Other disorders of lens"
"O42","Premature rupture of membranes"
"B90","Sequelae of tuberculosis"
"K08","Other disorders of teeth and supporting  structures"
"N32","Other disorders of bladder"
"R68","Other general symptoms and signs"
"L80","Vitiligo"
"R59","Enlarged lymph nodes"
"K81","Cholecystitis"
"M94","Other disorders of cartilage"
"L81","Other disorders of pigmentation"
"L98","Other disorders of skin and subcutaneous tissue, NEC"
"P59","Neonatal jaundice"
"H33","Retinal detachments and breaks"
"Y45","Analgesics, antipyretics and anti-inflammatory drugs causing adverse effects in therapeutic use"
"M40","Kyphosis and lordosis"
"N11","Chronic tubulo-interstitial nephritis"
"C50","Malignant neoplasm of breast(C50)"
"B26","Mumps"
"L51","Erythema multiforme"
"E66","Obesity"
"I45","Other conduction disorders"
"E44","Protein-energy malnutrition of moderate and mild degree"
"O21","Excessive vomiting in pregnancy"
"H47","Other disorders of optic[2nd] nerve and visual pathways"
"O24","Diabetes mellitus in pregnancy"
"I83","Varicose veins of lower extremities"
"G93","Other disorders of brain"
"S72","Fracture of femur"
"H83","Other diseases of inner ear"
"H44","Disorders of globe"
"S86","Injury of muscle and tendon at lower leg level"
"T20","Burn and corrosion of head and neck"
"A53","Other and unspecified syphilis"
"A63","Other predominantly sexually transmitted diseases, NEC"
"R43","Disturbances of smell and taste"
"O92","Other disorders of breast and lactation associated with childbirth"
"M92","Other juvenile osteochondrosis"
"S97","Crushing injury of ankle and foot"
"I95","Hypotension"
"L71","Rosacea"
"R25","Abnormal involuntary movements"
"M20","Acquired deformities of fingers and toes"
