"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"A02 (interacts with) A04","A02","A04",2.44082928831487e-12,4.36631629817567,15,2
"A02 (interacts with) F43","A02","F43",3.4373893124682e-07,5.19554067229028,10,1
"A02 (interacts with) G56","A02","G56",5.675712006146e-09,5.08936324167873,14,1
"A02 (interacts with) G58","A02","G58",4.32816499658494e-06,4.3625843780135,10,1
"A02 (interacts with) K56","A02","K56",3.80823844821513e-07,4.53142806465202,11,1
"A02 (interacts with) K71","A02","K71",5.03741548007237e-09,4.05327042349987,13,1
"A02 (interacts with) K85","A02","K85",1.70391994841399e-06,4.13074219223466,11,1
"A02 (interacts with) M46","A02","M46",1.84559094717353e-06,4.62012343581904,12,2
"A02 (interacts with) M49","A02","M49",7.55916633595104e-07,5.12641428179932,10,2
"A02 (interacts with) R19","A02","R19",1.20049789598154e-07,4.93374463519313,10,1
"A02 (interacts with) R53","A02","R53",3.66510248485119e-06,4.48051639205028,6,1
"A02 (interacts with) R68","A02","R68",4.43801528342958e-08,5.98004137763174,11,2
"A02 (interacts with) S40","A02","S40",4.35439582930051e-07,5.04656319290466,11,1
"A02 (interacts with) S86","A02","S86",8.59761235495349e-06,4.24231668952166,9,1
"A04 (interacts with) B00","A04","B00",2.98009280397532e-08,4.9974173553719,17,1
"A04 (interacts with) K50","A04","K50",4.91033880309725e-05,4.18836772983114,11,1
"A04 (interacts with) M72","A04","M72",1.89024616659729e-07,5.13116883116883,18,2
"A05 (interacts with) A15","A05","A15",8.04574717052198e-06,4.4365987432349,10,1
"A05 (interacts with) H92","A05","H92",3.67644175549368e-06,4.6338630806846,11,1
"A08 (interacts with) J05","A08","J05",6.85998516390196e-07,4.51295535793423,10,1
"A08 (interacts with) R17","A08","R17",3.21726386844315e-05,4.11814345991561,10,2
"A08 (interacts with) R45","A08","R45",1.14153554419049e-08,4.81505433342168,11,1
"A08 (interacts with) R59","A08","R59",5.87967923719796e-09,6.7285738723841,9,1
"A09 (interacts with) E44","A09","E44",6.17638367445279e-06,4.25819651427128,4,1
"A09 (interacts with) H66","A09","H66",1.6525903563345e-06,5.98065764023211,18,1
"A09 (interacts with) S13","A09","S13",1.29017752956775e-06,4.07210626185958,18,2
"A09 (interacts with) S63","A09","S63",2.62570421228953e-07,4.2078431372549,18,2
"A15 (interacts with) A16","A15","A16",5.21247227380973e-28,7.71565414114661,10,1
"A15 (interacts with) B90","A15","B90",1.73899417952156e-50,30.6067022826615,6,1
"A15 (interacts with) E44","A15","E44",2.93758833008072e-06,4.41403846153846,10,1
"A15 (interacts with) H53","A15","H53",3.03350970870948e-06,4.29989165763814,8,2
"A15 (interacts with) J43","A15","J43",7.41699504010053e-11,4.08385464058235,11,1
"A15 (interacts with) J44","A15","J44",2.2932482852384e-10,5.09884020618557,8,2
"A15 (interacts with) J47","A15","J47",7.70181207730195e-12,7.14132021690768,8,1
"A15 (interacts with) J98","A15","J98",2.24774928693921e-08,5.40979112987227,6,2
"A16 (interacts with) A15","A16","A15",1.13236776459787e-28,8.71070691984923,9,1
"A16 (interacts with) A18","A16","A18",5.92861366328971e-08,6.64815206807502,9,1
"A16 (interacts with) B90","A16","B90",2.83469245048458e-54,13.3921052631579,9,1
"A16 (interacts with) C34","A16","C34",3.6562582850692e-10,5.13342922255015,9,1
"A16 (interacts with) I88","A16","I88",3.56328863327248e-06,4.88036296093298,7,1
"A16 (interacts with) J43","A16","J43",1.77494800178981e-14,4.58407346078579,10,1
"A16 (interacts with) J47","A16","J47",1.13419037196179e-17,6.045574057844,9,2
"A16 (interacts with) J90","A16","J90",6.31048466807683e-09,6.47041478710529,10,2
"A16 (interacts with) J98","A16","J98",1.01014548931173e-09,4.83967455699202,6,2
"A18 (interacts with) E05","A18","E05",2.43699635816034e-09,6.28439179382576,7,1
"A18 (interacts with) G63","A18","G63",2.64202864504022e-06,4.27623623231036,10,2
"A41 (interacts with) D64","A41","D64",6.00649475209803e-07,4.49356427776895,2,1
"A41 (interacts with) E06","A41","E06",9.02561532572832e-07,4.25639778408323,6,2
"A41 (interacts with) J41","A41","J41",9.14848062054289e-09,5.25890900703494,3,1
"A49 (interacts with) E05","A49","E05",2.10359423463405e-07,4.08176395683935,10,1
"A49 (interacts with) S32","A49","S32",1.34749286414596e-06,4.84661914964945,9,2
"A53 (interacts with) J98","A53","J98",1.4760166727489e-07,4.36264048940105,10,1
"A53 (interacts with) R14","A53","R14",5.50285037169966e-07,4.95963279678068,6,2
"A54 (interacts with) A56","A54","A56",8.67814750795858e-12,7.49310924369748,7,2
"A54 (interacts with) A59","A54","A59",2.7458007085433e-09,4.81790158693915,10,2
"A54 (interacts with) A60","A54","A60",1.16993360971648e-26,4.59472543685739,5,2
"A54 (interacts with) B34","A54","B34",1.14194564164148e-06,5.55508173418621,8,1
"A54 (interacts with) K92","A54","K92",4.69167945934717e-08,4.55836606441477,4,2
"A54 (interacts with) R45","A54","R45",1.87064412697047e-05,4.01751838946961,9,2
"A54 (interacts with) S81","A54","S81",3.57505228157058e-06,4.30959107806691,4,2
"A56 (interacts with) A54","A56","A54",3.3504486633167e-09,6.36160714285714,8,1
"A56 (interacts with) B00","A56","B00",1.96381860077946e-08,5.19099567099567,4,1
"A56 (interacts with) B85","A56","B85",7.08832035942967e-06,4.40625612042192,9,1
"A56 (interacts with) K80","A56","K80",3.89644051509395e-07,4.12172011661808,10,1
"A56 (interacts with) L73","A56","L73",4.51725409928938e-07,4.87750440025465,10,2
"A59 (interacts with) A54","A59","A54",3.50924916109871e-06,4.14046918717268,4,2
"A59 (interacts with) A60","A59","A60",3.42258332191975e-07,4.94519115890084,6,1
"A59 (interacts with) B09","A59","B09",9.69152401672149e-07,4.30074468403266,5,2
"A59 (interacts with) B85","A59","B85",4.17132000374521e-07,4.4254212954574,4,2
"A59 (interacts with) F10","A59","F10",2.76640784726963e-06,4.59159010600707,4,2
"A59 (interacts with) K70","A59","K70",1.48591087644965e-12,4.66673674507362,4,2
