"from","to","function","file"
"completeGraph(2)","figRes13",,"results.R"
"completeGraph(2)","figRes14",,"results.R"
"completeGraph(2)","figRes15",,"results.R"
"igs","figC02",,"results.R"
"ca","figR04",,"results.R"
"ca","resR5",,"results.R"
"n","figR06",,"results.R"
"n","figR07",,"results.R"
"ca","figR08",,"results.R"
"n","figR08",,"results.R"
"n","resR6",,"results.R"
"n","figR10",,"results.R"
"n","figR11",,"results.R"
"n","figR12",,"results.R"
"n","figR13",,"results.R"
"n","tabR01",,"results.R"
"n","tabR02",,"results.R"
"igs","figR14",,"results.R"
"n","figR14",,"results.R"
"igs","figR15",,"results.R"
"n","figR15",,"results.R"
"igs","figR16",,"results.R"
"n","figR16",,"results.R"
"n","figR17",,"results.R"
"n","tabR03s",,"results.R"
"n","figR18",,"results.R"
"n","figR19",,"results.R"
"n","figR20",,"results.R"
"n","figR21",,"results.R"
"n","figR22",,"results.R"
"n","figR23",,"results.R"
"n","figR24",,"results.R"
"n","figR27",,"results.R"
"n","tabR7",,"results.R"
"ca","tabR7",,"results.R"
"igstrat","tabR8",,"results.R"
"igstrat","resR1",,"results.R"
"n","resR1",,"results.R"
"igstrat","resR2",,"results.R"
"igs","resR2",,"results.R"
"igstrat","resR3",,"results.R"
"n","resR3",,"results.R"
"igstrat","figR25",,"results.R"
"igstrat","figR26",,"results.R"
"igs","resR4",,"results.R"
"igstrat","resR4",,"results.R"
"n","resR4",,"results.R"
"igs","tabR9",,"results.R"
"igstrat","tabR9",,"results.R"
"n","tabR9",,"results.R"
"st","stu",,"strata.R"
"k","stu",,"strata.R"
"stu","st1",,"strata.R"
"st1","igstrat",,"strata.R"
"igs","igstrat",,"strata.R"
"n","igstrat",,"strata.R"
"T20Files","fetch","{poolSick}","fetch.R"
"T40Files","fetch","{poolSick}","fetch.R"
"KCD master files","kcdu",,"manual"
"kcdu","Results > RR .. > paragraph 1",,"manual"
"fetch","Results > RR .. > paragraph 1",,"manual"
"j","Results > RR .. > paragraph 1",,"manual"
"jk-04.csv","j","J","functions.R"
"fetch","figRes11","figRes11","results.R"
"j","figRes11","figRes11","results.R"
"fetch","figRes12","figRes12","results.R"
"fetch","completeGraph(1)","graphFromIncidences{contingencyFromIncidences{countContingency}}","makeContingency.R"
"completeGraph(1)","completeGraph(2)","rr.igraph{rrFromContingency}","completeContingency-s.R"
